review_title,review_body,rating,review_date
Worst movie in the set by far,"Unbelievably bad. Zero character development, predictable outcomes from the moment the movie starts. Avoid.",1.0,8 July 2018
So far the worst movie of the summer,"This movie was useless, and made to milk the cow once more.

So they did 3 movies so far, why not make a prequel and show how this whole disaster started....

Not sure how this movie got a 5.3 rating with all the real ratings not fakes ones rate it 1.",1.0,25 July 2018
Not as amazing as the previous Purges but great entertainment,Read the reviews and thought this will be a desastrous flick but after watching I don't understand all the negative reviews since the movie was pretty entertaining.,7.0,30 October 2018
So bad... it's just bad,,1.0,5 July 2018
Very different Purge lots of ghetto stuff,More violent than the others; nice & gory fun! I'm not gonna spoil it just go see it if you like the other Purge movies this is definitely a nice treat!,7.0,4 July 2018
The original Purge was such Unique thriller....how did they let it become so bad...,,1.0,9 July 2018
I enjoyed it on the big screen,"Fourth film in the franchise here we have the prequal explaining the thinking behind and start of the experiment on Staten Island known as The Purge, where all crime is allowed over a 12 hour period. The reason behind the Purge is far right wing politics, no doubt a comment on the current political climate, but it doesn't get too heavy regarding the film itself. This is one of the movies that requires little thinking, just put your brain into neutral and enjoy the action. Of which there is plenty. Good banging soundtrack, acting is good enough. My favourite character was a pyscho known as Skeletor, who's face required no mask. He'd not look out of place in a slasher movie. Things do get a bit too far fetched with a one man army taking on the militia but I overlooked that. Good combination of action and horror.",7.0,9 July 2018
Really scary!,I finished the movie on HBO OnDemand then I pressed back and accidentally hit the restart button. I had a moment of panic. So I will give it a 2 for the skipped heart beat.,2.0,16 May 2019
What movie were y'all watching?,"Did me and everyone else watch the same movie? This movie isn't as bad as people say it is, are y'all mad because the main person is black? It's only racist to people who are racist",10.0,11 October 2018
A Decent Prequel,"For me The Purge series has consistently gotten better to say the least. The First Purge has genuine moments of thrill and excitement and puts character development in the back seat which is okay with me. This is the 4th film in the series and if you're expecting anything more than a carnage filled thriller with bizarre social commentary, then the film isn't the problem, it's you.",6.0,11 July 2018
Embarrassingly BAD,"I was embarrassed sitting in the theatre. I eventually had enough and walked out! Worst movie of the year. The only positive thing is that, after I tuned it out, I had time to think about the TRASH Hollywood turns out. And I resolved to go to much less movies and be more discerning about the movies I go to. So I'm grateful I will stop seeing these random garbage movies and save some money.

Ok I'm ashamed I would see this immoral twisted movie. What is tragic is that so many people see this trash. What is wrong with us to not know better. We should not be seeing this stuff and maybe the will stop making them.",1.0,5 July 2018
A Beyond Lacklustre Prequel,"I'm not a big horror fan, but I always appreciate when a great horror flick comes along. When The Purge was released back in 2013, I was very underwhelmed by it, as the premise itself intrigued me enough to warrant a viewing. The biggest issue I had with that film is that it was a country-wide event that was self-contained in one house. When the second film came along I was inclined to give it a chance because it did what I hoped the first film was going to. Now, this franchise has gone n for far too long and we have arrived at a prequel in The First Purge. The idea of going back to the very first purge has potential, but this film lives up to nothing of the sort. Anything good to speak of this franchise has now been killed in my eyes. This is easily the worst film in the franchise and one of the worst films I've seen in 2018, period.

Taking place years before the events of the original film, an experimental purge is held on Staton Island in New York. Dealing with gangs, families, and people who just have the urge to murder, this film focusses on many different people, making it a jumbled mess of a movie. The plot of this film is no different than any of the previous installments, aside from not quite making a valid argument as to why these events even take place each year, which is what I felt this film's only job was in the first place. Failing to provide insight as to why this event continues on is just the icing on the cake of what makes this film so dreadfully bad though.

Although I'm not a huge fan of the franchise, each consecutive film was at least able to provide characters that had a backstory for you to follow and while this film attempts to, it comes off as lazy writing, stereotyping people and giving them nothing but clichéd backstories all across the board. If you literally go to watch these films based on the fact that people murder each other and you don't mind having zero depth to the characters involved, then this film may slightly please you, but at least in my opinion, your bar for entertainment might have to be pretty low for this one to impress you.

On top of these elements, this is a very easy film to nitpick. The First Purge is riddled with jump scares that come out of nowhere (which I can't stand), some of the blandest dialogue I've heard all year, and quite frankly some very lazy editing techniques. This film has a relatively low budget, just like its predecessors, but it's no excuse when the editing and visual effects would be noticeable in a movie that cost a studio ten bucks.

As I mentioned, this movie can be nitpicked until the end of time, but there is one particular scene that ruined any hope I had for this film. Surprisingly, this scene involves a character played by Marisa Tomei. I love her as an actress, but I was shocked to see her appear in this film. Her character is only present to spew expositional dialogue that will even seem dumb to young kids. There is a sequence in this film that is shown through a video feed to her character and after the audience witnesses that they're all wearing masks, she literally exclaims that they're wearing masks, so that the viewers will understand those are the people who are choosing to purge. This film has quite a few moments like this and it just had me shaking my head in disappointment.

The First Purge hardly has a single redeeming quality, aside from maybe a visual choice of giving glowing contact lenses to the people who choose to purge. That element was cool visually, but that had no effect on the overall movie. When your film fails to have your audience care about who lives and who dies, there's something seriously wrong. I truly felt that one of the most unlikeable characters was one that you're meant to be rooting for, which gave me a very uncomfortable viewing experience. In the end, this movie fails on more levels than its predecessors, so even if you're a slight fan of the franchise, I still don't know if this one warrants a recommendation. The First Purge is garbage entertainment.",2.0,4 July 2018
"Is this the end, or the beginning","Ok so there are many bad reviews for this film. Many are saying this is a rwcist movie blah blah. Truth is, yes the government or NFFA is portrayed in this movie to be targeting the black community as most of the cast are black and everyone who lives in the apartment towers of interest are definitely black. Umm, so what? Do we all have a problem with risky filmmaking? Is that not what some of the most successful and well known horror films are made of? I am an avid horror fan and upcoming director and honestly i think it was a great idea to hand the Purge series over to a black director and let him put out something mainstream for the black film community. It doesnt mean itll stay there. A 5th installment could prove there is still life here. After all, the way the 3rd Purge was headed was very political and racial. I myself think the movie was great. It had the most grit out of the series and the connection between characters was deep and felt, and when a cared for one dies or there is a heartfelt moment, it IS effective. The violence portrated is good, not great. Its not bloody. I have somewhat of a hard time seeing where the budget went on this film, as there was little on screen violence that was actually detailed. I personally loved the main character, Dwayne. He was a badass with a heart. Its hard foe,ke to say where this one stands in the series. A part of me wants to call,it the best. But a part of me wants to call it the worst.",7.0,3 October 2018
Absolutely terrible,"I couldn't even finish watching it. The acting is terrible, editing and overall flow of the movie was poorly put together. This seemed like a sloppy rush job for a quick money grab. I'm glad HBOGO put this up in their available movies so I didn't waste money on this garbage",1.0,6 September 2019
Good,Far from great but the acting was some special effects looked rushed but liked what it had to offer,7.0,15 July 2018
my notes,Pointless. useless. dumb. terrible. sucks. stinks (1 viewing),2.0,26 July 2019
Reasonable prequel !,"First Purge is the best in its series as me. Because such purge day is going every year occurred even a lot of men get killed, must have a sound reason and we find that reason here. Well plotted and believable story ! Movie trails initially but takes in action after 15 minutes and turn into a horrible drama. This drama makes us to stop breathe and let the watch a good thriller. I recommend this to must see to them who already seen 3 parts of the series.",7.0,23 October 2018
Horrible! The first was original and much better,,1.0,4 July 2018
A good action movie.,"For goodness sake, stop over analysing movies. yes it was OTT with race connotations, yes it had characters dressed as Nazi's and KKK, and all the bad guys in power seemed to be white. But you are watching a fantasy action movie that to me, did NOT take itself too seriously. The action is good, especially in the tower near the end. One fight on the stairs reminded me of John Wick, where the camera just sits there and films, rather than have 50 different shots of each punch. It could have done with explaining the lead characters' ability to fight and take out mercs, but who cares really. Just enjoy the film and stop comparing it to socioeconomic writings and moral judgements.",8.0,25 October 2018
Back To Where It All Started,"It was an idea that writer/director James DeMonaco had back in 2013: What if there were a 12-hour period during the night, throughout America, at the start of spring, where everybody's pent-up anger could be released in a spree of looting, vandalism, rape, and mass murder? And what if it were the thing that kept crime and unemployment at bay for the other 364½ days of the year? DeMonaco referred to such an event as THE PURGE, and it became one of the better horror films of 2013 in its original incarnation, where elements of A CLOCKWORK ORANGE, STRAW DOGS, and NIGHT OF THE LIVING DEAD were combined into one very nightmarish brew. It was thus followed in 2014 by THE PURGE: ANARCHY, and in 2016 with THE PURGE: ELECTION YEAR.

And in 2018, though he had ceded the director's chair to Gerald McMurray, the director of the disturbing but excellent 2013 film FRUITVALE STATION, DeMonaco still had his hand in with the screenplay for a ""Purge"" prequel, THE FIRST PURGE.

In this (loosely) fourth film it what has become an increasingly blood-and-profanity-soaked series, we are taken back to how the ""Purge"" phenomena got started in the first place, in 2021, a year before the events that we saw in the original (which was set in Los Angeles). It is intended as an experiment by a psychologist (Marisa Tomei) to be conducted in isolation on Staten Island, though funded by the National Founding Fathers of America (NFFA), the third political party that has arisen to do what they say neither the Democrats nor the Republicans can or will do-which, basically, is allegedly to bring back the American Dream, or whatever that used to be. But as Tomei finds out to her horror, what was intended to be a release valve for people's anger is actually intended, according to the NFFA's chief spokesperson Arlo Sabian (Patch Darragh), to expunge ""lower class"" citizens (pretty much people can tell who those people are and what they look like) from the American landscape. When the Purge doesn't seem to have the intended effect that Tomei wanted, Darragh sends in a bunch of outsiders in KKK-type hoods and the familiar ""Purge"" masks to do the job.

Apart from Tomei, and the Staten Island drug kingpin portrayed by Steve Harris, THE FIRST PURGE doesn't have any recognizable faces, let alone the FBI agent portrayed by Frank Grillo in the previous two ""Purge"" films (he decided to sit this one out without DeMonaco in the director's chair). We do have a number of sympathetic Black and Hispanic characters in the film. We also have plenty of surveillance sequences from within the NFFA headquarters and out on the streets that, as in the previous films of the series, hearken back to George Orwell's classic Dystopian novel ""1984"", as well as THE OSTERMAN WEEKEND and MINORITY REPORT. And, this being 2018 we're living in, the film is clearly and inevitably intended as a swipe at the White Nationalist movement fueled by the presidency of one Donald John Trump.

As a film, however, THE FIRST PURGE, like THE PURGE: ANARCHY and THE PURGE: ELECTION YEAR, has fallen into a standard brew of over-the-top violence and profanity, gratuitous sex, and oftentimes overblown acting, partly due to McMurray's direction, but mostly due to DeMonaco having written the screenplay in a way to appeal to a typical 21st century summer horror and action film crowd. If the original 2013 film showed anything at all, it showed that films in the horror and/or action films didn't have to degenerate to that level.

I'm giving THE FIRST PURGE a '7' rating based on the original and sinister premise behind it, but it could have been so much more.",7.0,8 July 2018
Good series ruined by politics,"What I loved about the Purge series is how it focused on the darker side of humanity. No one was able to be viewed as a ""good guy"" because, given the right circumstances, we all harbor terrible passions that can be let out if allowed. In this movie, they show ""how it all started"" but in doing so, they couldnt help but pander to a certain group of people who want to make all white people evil and all black and poor people victims. Even the black gangsters who routinely kill and spread evil over the world end up being shown as ""true heroes"". Why does everything have to be ""this group is good, this group is bad""? There are good and bad in ALL groups and that is what made Purge so awesome. I doubt I will watch any more of these films. Trust Hollywood elite to ruin a good thing because they cant keep their opinions to themselves.",5.0,10 October 2018
An absolute disgrace,"I nearly missed half this film as I kept rolling my eyes at the sheer lameness of the scenes. Maybe I should have just walked out, missed the film and spared that hour of my life. Like, who gets away with writing garbage like this? And who casts these 'actors'? Just shocking. The comic relief woman -whose character I'm sure was inspired by the 'aint nobody got time for dat' woman - was so bad at her acting, the comic relief was cringey and not funny at all. The racial message here is so blatant I actually fear for this country. Why is anybody allowed to make heroes out of racists? Imagine we flipped the scenario...just imagine... Satan's balls what a terrible film.",1.0,6 October 2018
On par with the original Purge.,"The tension of The First Purge takes longer than expected to initially kick in, and is then undermined by unnecessary and completely out of context bouts of humour. The performances are wholly mediocre and the main antagonist veers towards laughable. The social commentary of the previous films is present here, but doesn't move in any unexpected directions. The only scene that I can recall as being outstanding is an excellently choreographed fight scene near the end of the film.",6.0,7 July 2018
The worst purge,"Seriously, you get bored from the begining of the movie, the whole thing is flat and slow, not worth the time even for free ticket.",1.0,4 July 2018
Another Solid Entry for the Purge Faithful,"Instead of repeating the same crazy and hysterical night, the writer and creator of the Purge franchise (James DeMonaco) went back and they created a prequel with the First Purge. This was probably to avoid stagnation with the franchise and I can get on board with that. When it comes to the writing in this entry, I thought they did a decent job of filling in some of the previous cracks in the mythology. They give the residents of Staten Island a reason to participate in the experiment and the rollout of the idea is done carefully (as much as it can be). I also appreciated that this movie provided a glimmer of hope in terms of human nature. Most people are at least initially reluctant to participate and that's one of the first admissions by the creative team that all of humanity isn't morally abhorrent. So, while I was impressed by some aspects of the writing, they do continue with the same hammy dialogue that all the other movies feature. I respect DeMonaco as a writer and director (even though he's only handling screenwriting duties in this one) but bringing in someone to be more understated with the dialogue would be appreciated going forward.

The First Purge features a couple of twists that I won't spoil but I thought they were well handled for the most part. Conversely, The Purge franchise isn't one you can rely on to create memorable characters. The closest we got to a returning hero was the Sargent/Leo Barnes played by Frank Grillo. The First Purge centres around Dmitri (Y'lan Noel), Nya (Lex Scott Davis) and Isiah (Joivan Wade) and how effective their characters are is decidedly mixed. Isiah is almost the audience avatar, anyone who watches the Purge movies likes to think that they'd be out there running the show but as Isiah learns the hard way, its all well and good until you run into some seriously crazy people and you realize how out of your league you are. Nya is probably the most generic of the 3, she's the anti-purge activist and is responsible for delivering the message of the movie. I want to get into Dmitri more later, but while he has a clear motivation and you can understand his point of view, the method to his madness is flawed.

One of the returning issues from other Purge movies is that a lot of the acting borders if not falls into chewing the scenery. The most annoying part was Rotimi Paul as Skeletor. I don't want to completely blame him, part of it was his character but I couldn't stand him and when he makes a surprise appearance at the end, I was rolling my eyes so hard. I did enjoy Y'lan Noel as Dmitri, he made for a charismatic lead despite his character and his work in the action scenes closer to the end could have qualified him for a reboot of the Punisher. Lex Scott Davis conveyed a lot of compassion and righteous anger well as Nya and Joivan was capable as Isiah. I was disappointed Marisa Tomei didn't get more to do as Dr. Updale. Casting her as the scientist who came up with the Purge was inspired but she only acts steely and reserved until an improbable tangent undercut her character.

The politics surrounding the Purge franchise are never subtle and while I wish they could be woven into the plot with a lighter touch, that idea being shoved in your face continues in The First Purge. If this makes you angry or you disapprove, nothing I can say will change your mind. Maybe putting this franchise in different hands would help it be more organic. I do think that Dmitri is an interesting character, but I also agree with the criticism that he's a drug lord and the movie wants you to just forget that he's destroying his neighbourhood (the movie points it out but at the end, he's celebrated like a hero and it rings somewhat hollow). So, if you're turned off by the message this movie is championing, that's your choice and I won't convince you of anything different. But this franchise has had 3 movies already and if you're shocked that there's a heavy political slant to this, you obviously haven't seen the other 3. I find all the outrage directed at this entry to be puzzling, why is this a surprise to anyone? This was the rhetoric since 2013.

The Purge franchise continues to soldier on and while this is a middling entry, I still enjoyed it. The action scenes toward the end were filmed in an interesting way, Y'lan Noel gave a solid lead performance despite the contradictory nature of his character and I still love the potential of this premise. It was one of the big ideas to come out of horror and it's a license to do anything or go any direction and I think we need more of that. The biggest problem with this movie is that instead of dialing up the horror and the thrills (like my favourite Purge movie, The Purge: Anarchy), they doubled down on the politically charged momentum of The Purge: Election Year which wasn't the best aspect of that movie. This movie has a lot to say and isn't afraid to say it and I don't disagree with that message. I want this franchise keeps going but I hope it attracts some bigger name talent. If you got some high calibre actors and a punch up writer for the dialogue, I think they could create something special. If you're a Purge fan, I think you'll enjoy this, but I wouldn't expect this to win over many new converts.",7.0,12 July 2018
Original Fan from day- NO MORE,"This is the absolute worst Purge - I have seen them (1-3) 20 times-

I wanted to leave the theater 1/2 way through- but the $12 ticket cost made us suffer through- Save your money and wait til its on on channel 4

Stupid Plot Bad Acting",2.0,5 July 2018
intriguing origin story,"The American economy has crashed. The political system is in turmoil. The two party system has fallen and the New Founding Fathers of America has been elected. Dr. May Updale is The Architect of the First Purge and Staten Island has been selected for the experiment. Locals are given $5000 each to participate. At first, most would rather throw big street parties or hide behind locked doors. Individual attacks soon becomes widespread as bigger powers aim to use the purge for their own purposes.

A prequel origin story is often unnecessary in established franchises. The purge could be one of those. It's an else-world that has logics of its own. It never made much sense to me but this movie is able to use today's world logic to make it more relevant. With today's understanding, the phrase 'this could happen' gets closer to reality. So the overall franchise premise is enhanced by this movie. That's its biggest contribution. It has the attempt even if it is unable to do it cleanly. The reality of the situation demands more realism from its violence. The lead's superhero antics do not fit. There are a few questionable aspects. The KKK hoods are too on the nose. Staten Island is probably not the right neighborhood. The overall world situation needs more clarity. Despite all the minor issues, the central premise is compelling and it's a good B-movie thriller anyways.",7.0,1 October 2018
The First Purge: The First Purge is the worst Purge,"I've said since day one that The Purge is an incredible concept which positively reeks of potential. I love the idea and there is so much that could done with it, but the moment the first film revealed itself as yet another home invasion movie my belief that Hollywood could do it justice diminished.

Now here we are with the 4th movie and a prequel no less, they've had 5yrs to think about the concept and what they could do with it. So why is this latest offering the worst?

You know what it reminds me of? Attack the Block (2011), that awful British sci-fi movie about aliens that attack a council estate. So we have the absolute scum of the Earth as our protagonists and I'm supposed to cheer them on? Absolutely not.

The First Purge does the same thing, our ""Heroes"" are drug dealers, weapons merchants etc who I simply cannot get behind. If a movie has no real protagonists it's DOA for me.

Full of the usual fantastic social commentary, incredible aspects of the Purge concept but once again a weak delivery. For the fourth time the concept feels wasted and instead we're subjected to another brainless action flick.

The more I think about the concept however the more I question whether it can be done justice. Surely there is someone out there who can do something with it?

So in conclusion, The First Purge is the worst Purge.

The Good:

Lex Scott Davis

Every aspect that embraces the concept

The Bad:

Some wretched characters

Stock scream

Awful soundtrack

Ending is ridiculous",4.0,10 May 2019
